antlr/antlr,antlr/antlr/2.7.7
org.eclipse.jetty/apache-jstl,org.eclipse.jetty/apache-jstl/9.4.9.v20180320
org.eclipse.jetty/jetty-alpn-client,org.eclipse.jetty/jetty-alpn-client/9.4.9.v20180320
org.eclipse.jetty/jetty-alpn-java-client,org.eclipse.jetty/jetty-alpn-java-client/9.4.9.v20180320
org.eclipse.jetty/jetty-alpn-java-server,org.eclipse.jetty/jetty-alpn-java-server/9.4.9.v20180320
org.eclipse.jetty/jetty-alpn-server,org.eclipse.jetty/jetty-alpn-server/9.4.9.v20180320
org.eclipse.jetty/jetty-annotations,org.eclipse.jetty/jetty-annotations/9.4.9.v20180320
org.eclipse.jetty/jetty-ant,org.eclipse.jetty/jetty-ant/9.4.9.v20180320
org.eclipse.jetty/jetty-client,org.eclipse.jetty/jetty-client/9.4.9.v20180320
org.eclipse.jetty/jetty-continuation,org.eclipse.jetty/jetty-continuation/9.4.9.v20180320
org.eclipse.jetty/jetty-deploy,org.eclipse.jetty/jetty-deploy/9.4.9.v20180320
org.eclipse.jetty/jetty-hazelcast,org.eclipse.jetty/jetty-hazelcast/9.4.9.v20180320
org.eclipse.jetty/jetty-http,org.eclipse.jetty/jetty-http/9.4.9.v20180320
org.eclipse.jetty/jetty-http-spi,org.eclipse.jetty/jetty-http-spi/9.4.9.v20180320
org.eclipse.jetty/jetty-infinispan,org.eclipse.jetty/jetty-infinispan/9.4.9.v20180320
org.eclipse.jetty/jetty-io,org.eclipse.jetty/jetty-io/9.4.9.v20180320
org.eclipse.jetty/jetty-jaas,org.eclipse.jetty/jetty-jaas/9.4.9.v20180320
org.eclipse.jetty/jetty-jaspi,org.eclipse.jetty/jetty-jaspi/9.4.9.v20180320
org.eclipse.jetty/jetty-jmx,org.eclipse.jetty/jetty-jmx/9.4.9.v20180320
org.eclipse.jetty/jetty-jndi,org.eclipse.jetty/jetty-jndi/9.4.9.v20180320
org.eclipse.jetty/jetty-nosql,org.eclipse.jetty/jetty-nosql/9.4.9.v20180320
org.eclipse.jetty/jetty-plus,org.eclipse.jetty/jetty-plus/9.4.9.v20180320
org.eclipse.jetty/jetty-proxy,org.eclipse.jetty/jetty-proxy/9.4.9.v20180320
org.eclipse.jetty/jetty-quickstart,org.eclipse.jetty/jetty-quickstart/9.4.9.v20180320
org.eclipse.jetty/jetty-rewrite,org.eclipse.jetty/jetty-rewrite/9.4.9.v20180320
org.eclipse.jetty/jetty-runner,org.eclipse.jetty/jetty-runner/9.4.9.v20180320
org.eclipse.jetty/jetty-security,org.eclipse.jetty/jetty-security/9.4.9.v20180320
org.eclipse.jetty/jetty-server,org.eclipse.jetty/jetty-server/9.4.9.v20180320
org.eclipse.jetty/jetty-servlet,org.eclipse.jetty/jetty-servlet/9.4.9.v20180320
org.eclipse.jetty/jetty-servlets,org.eclipse.jetty/jetty-servlets/9.4.9.v20180320
org.eclipse.jetty/jetty-spring,org.eclipse.jetty/jetty-spring/9.4.9.v20180320
org.eclipse.jetty/jetty-start,org.eclipse.jetty/jetty-start/9.4.9.v20180320
org.eclipse.jetty/jetty-unixsocket,org.eclipse.jetty/jetty-unixsocket/9.4.9.v20180320
org.eclipse.jetty/jetty-util,org.eclipse.jetty/jetty-util/9.4.9.v20180320
org.eclipse.jetty/jetty-util-ajax,org.eclipse.jetty/jetty-util-ajax/9.4.9.v20180320
org.eclipse.jetty/jetty-webapp,org.eclipse.jetty/jetty-webapp/9.4.9.v20180320
org.eclipse.jetty/jetty-xml,org.eclipse.jetty/jetty-xml/9.4.9.v20180320
org.eclipse.jetty.cdi/cdi-core,org.eclipse.jetty.cdi/cdi-core/9.4.9.v20180320
org.eclipse.jetty.cdi/cdi-servlet,org.eclipse.jetty.cdi/cdi-servlet/9.4.9.v20180320
org.eclipse.jetty.fcgi/fcgi-client,org.eclipse.jetty.fcgi/fcgi-client/9.4.9.v20180320
org.eclipse.jetty.fcgi/fcgi-server,org.eclipse.jetty.fcgi/fcgi-server/9.4.9.v20180320
org.eclipse.jetty.gcloud/jetty-gcloud-session-manager,org.eclipse.jetty.gcloud/jetty-gcloud-session-manager/9.4.9.v20180320
